time,state_true,state_pred
0,2.662375,2.662375
5,2.662375,2.662375
10,2.624375,2.624375
15,2.602125,2.602125
20,2.5865,2.5865
25,2.5785,2.5785
30,2.5693749999999995,2.5693749999999995
35,2.5627499999999994,2.5627499999999994
40,2.5627499999999994,2.5627499999999994
45,2.5815624999999995,2.5815624999999995
50,2.600375,2.600375
55,2.567875,2.567875
60,2.553875,2.553875
65,2.544,2.544
70,2.538125,2.538125
75,2.540875,2.540875
80,2.572625,2.572625
85,2.525625,2.525625
90,2.52,2.52
95,2.51975,2.51975
100,2.5141249999999995,2.5141249999999995
105,2.512625,2.512625
110,2.509125,2.509125
115,2.506875,2.506875
120,2.5045,2.5045
125,2.502,2.502
130,2.49175,2.49175
135,2.4915,2.4915
140,2.491,2.491
145,2.4905,2.4905
150,2.488875,2.488875
155,2.488375,2.488375
160,2.48725,2.48725
165,2.485,2.485
170,2.48375,2.48375
175,2.481125,2.481125
180,2.4805,2.4805
185,2.4805,2.4805
190,2.486,2.486
195,2.4915,2.4915
200,2.497,2.497
205,2.48625,2.48625
210,2.478875,2.478875
215,2.472875,2.472875
220,2.47025,2.47025
225,2.46675,2.46675
230,2.46525,2.46525
235,2.46225,2.46225
240,2.46,2.46
245,2.4585,2.4585
250,2.45625,2.45625
255,2.453375,2.453375
260,2.45125,2.45125
265,2.450375,2.450375
270,2.448625,2.448625
275,2.447,2.447
280,2.445125,2.445125
285,2.444,2.444
290,2.4425,2.4425
295,2.4405,2.4405
300,2.438875,2.438875
305,2.438,2.438
310,2.436375,2.436375
315,2.435375,2.435375
320,2.435,2.435
325,2.43375,2.43375
330,2.431,2.431
335,2.4295,2.4295
340,2.426833333333333,2.426833333333333
345,2.424166666666667,2.424166666666667
350,2.4215,2.4215
355,2.424375,2.424375
360,2.424375,2.424375
365,2.4383125,2.4383125
370,2.45225,2.45225
375,2.441375,2.441375
380,2.4325,2.4325
385,2.427125,2.427125
390,2.423875,2.423875
395,2.42,2.42
400,2.418,2.418
405,2.414375,2.414375
410,2.4125,2.4125
415,2.410125,2.410125
420,2.408875,2.408875
425,2.408,2.408
430,2.405875,2.405875
435,2.40375,2.40375
440,2.4025,2.4025
445,2.4,2.4
450,2.398875,2.398875
455,2.397125,2.397125
460,2.395375,2.395375
465,2.395,2.395
470,2.3935,2.3935
475,2.392375,2.392375
480,2.39125,2.39125
485,2.39,2.39
490,2.3885,2.3885
495,2.386875,2.386875
500,2.386125,2.386125
505,2.384375,2.384375
510,2.38425,2.38425
